"","points","points_last","avg_age","club_transfer_ratio","manager_change","star_players","played_internationally","squad_size","foreigners","promotion"
"368",32,47,25,1.02718168812589,1,0,0,40,0.6,0
"369",47,52,25.5,0.885664538595473,1,0,1,34,0.588235294117647,0
"370",52,45,25.8,1.05590062111801,0,0,0,33,0.575757575757576,0
"371",45,52,26.7,0.729490022172949,0,0,0,33,0.515151515151515,0
"372",52,44,25.9,0,1,0,0,29,0.517241379310345,0
"373",44,41,25.8,0.318904109589041,1,0,0,36,0.444444444444444,0
"374",41,48,25.4,0.630777044184865,0,0,0,34,0.382352941176471,0
"375",48,41,24.4,0.553213909378293,1,0,0,37,0.405405405405405,0
"376",41,38,24.6,0.493738819320215,1,0,0,34,0.382352941176471,0
"377",38,54,24.5,0.228915662650602,1,0,0,25,0.24,0
"378",54,43,24.4,0.666666666666667,0,0,0,26,0.307692307692308,0
"379",43,50,25.5,1.07730673316708,1,0,0,31,0.225806451612903,0
"380",50,0,25.1,1.13574660633484,0,0,0,25,0.24,0
"381",51,54,26.3,0.969181721572795,0,0,0,31,0.774193548387097,0
"382",54,50,26.4,0.0423529411764706,0,0,0,30,0.766666666666667,0
"383",50,42,26.1,0.218068535825545,1,0,0,29,0.689655172413793,0
"384",42,45,27.6,0.785407725321888,0,0,0,29,0.551724137931034,0
"385",45,46,27.9,1.21323741007194,0,0,1,31,0.483870967741935,0
"386",46,47,27,1.02368045649073,0,0,0,33,0.606060606060606,0
"387",47,45,25.9,1.24943566591422,0,0,0,37,0.486486486486487,0
"388",45,0,26.6,1.15671342685371,0,0,0,29,0.517241379310345,1
"389",39,38,25.5,1.19319872476089,0,0,0,42,0.642857142857143,0
"390",38,38,24.8,0.452041522491349,1,0,0,34,0.588235294117647,0
"391",38,39,24.9,1.05625801722558,1,0,0,37,0.756756756756757,0
"392",39,45,25.4,1.27038626609442,1,0,0,31,0.580645161290323,0
"393",45,47,25,1.38187050359712,0,0,0,33,0.545454545454545,0
"394",47,44,23.7,1.41169757489301,1,0,0,39,0.512820512820513,0
"395",44,36,24.5,2.21162528216704,1,0,0,38,0.684210526315789,0
"396",36,39,24.9,1.12785571142285,0,0,0,31,0.67741935483871,0
"397",39,0,24.2,1.52326553357481,1,0,0,42,0.738095238095238,1
"398",15,0,23.4,0.367883211678832,1,0,0,28,0.642857142857143,1
"399",19,40,24.4,2.58488612836439,1,0,0,42,0.642857142857143,0
"400",40,57,25.2,1.0159645232816,1,0,0,29,0.758620689655172,0
"401",57,58,24.3,0.953000295595625,0,0,0,36,0.611111111111111,0
